#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3629958
#overflow:lower center upper    3.5706601742E+002    4.0731230833E+000    2.3376996226E+002    2.6710303996E+000    5.6378054265E+002    6.4238767974E+000    2.6640121177E+002    3.0388916115E+000    3.1332931582E+002    3.5800670007E+000    4.9019010061E+002    5.5916959794E+000    4.1067102909E+002    4.6793031961E+000
    6.3095734448E+000    7.1264278960E+000    7.9432823472E+000    1.6694845286E+002    2.5813760099E+000    1.1139433724E+002    1.6904540442E+000    2.5803712368E+002    4.0856650955E+000    1.2455755511E+002    1.9259231165E+000    1.4930537326E+002    2.2657693229E+000    2.2919145175E+002    3.5437843544E+000    1.8796031986E+002    2.9760947077E+000
    7.9432823472E+000    8.9716411736E+000    1.0000000000E+001    1.3035347139E+002    2.1234868274E+000    8.7009199192E+001    1.4132643333E+000    2.0137723121E+002    3.2919141146E+000    9.7254628111E+001    1.5842993631E+000    1.1662119714E+002    1.8942431369E+000    1.7895284943E+002    2.9151814251E+000    1.4668791936E+002    2.3979077936E+000
    1.0000000000E+001    1.1294627059E+001    1.2589254118E+001    9.4986286666E+001    1.2864418449E+000    6.3391423275E+001    8.5936915421E-001    1.4677045451E+002    1.9860599177E+000    7.0867740514E+001    9.5979356650E-001    8.4965540875E+001    1.1518398109E+000    1.3039980044E+002    1.7660629312E+000    1.0691105676E+002    1.4466928326E+000
    1.2589254118E+001    1.4219093021E+001    1.5848931925E+001    7.1191809862E+001    1.0579027655E+000    4.7485472618E+001    7.0263898054E-001    1.1007238590E+002    1.6453588627E+000    5.3115064133E+001    7.8928423569E-001    6.3646289296E+001    9.4176937411E-001    9.7734084836E+001    1.4523181645E+000    8.0179319028E+001    1.1985181577E+000
    1.5848931925E+001    1.7900777537E+001    1.9952623150E+001    5.3923630536E+001    9.8359230871E-001    3.5944953608E+001    6.5208441431E-001    8.3430720648E+001    1.5313760472E+000    4.0231553317E+001    7.3384239928E-001    4.8178164604E+001    8.7400948102E-001    7.4027850839E+001    1.3503027150E+000    6.0772902422E+001    1.1154903897E+000
    1.9952623150E+001    2.2535743732E+001    2.5118864315E+001    3.9618696085E+001    6.1562158252E-001    2.6382285980E+001    4.0729750772E-001    6.1368874998E+001    9.6087275189E-001    2.9558871835E+001    4.5930535972E-001    3.5361017028E+001    5.4591380431E-001    5.4389641333E+001    8.4514232872E-001    4.4702534307E+001    6.9992234920E-001
    2.5118864315E+001    2.8370820458E+001    3.1622776602E+001    2.8097133968E+001    4.4451912277E-001    1.8707053274E+001    2.9589363306E-001    4.3529519640E+001    6.8894177663E-001    2.0962819678E+001    3.3164856688E-001    2.5073658509E+001    3.9659564773E-001    3.8572522320E+001    6.1024814146E-001    3.1707927596E+001    5.0184142053E-001
    3.1622776602E+001    3.5716746829E+001    3.9810717055E+001    2.0537401432E+001    2.8664497887E-001    1.3660773698E+001    1.9043350801E-001    3.1851974781E+001    4.4529084316E-001    1.5322624840E+001    2.1386120771E-001    1.8309969489E+001    2.5524408782E-001    2.8194312488E+001    3.9351415193E-001    2.3201728815E+001    3.2436034054E-001
    3.9810717055E+001    4.4964720209E+001    5.0118723363E+001    1.4393276673E+001    2.0789321074E-001    9.5668147859E+000    1.3810222167E-001    2.2341063859E+001    3.2294351955E-001    1.0738592193E+001    1.5510578032E-001    1.2822706144E+001    1.8510280026E-001    1.9759488152E+001    2.8540154737E-001    1.6273757237E+001    2.3523966771E-001
    5.0118723363E+001    5.6607228905E+001    6.3095734448E+001    1.0251874229E+001    1.6155147626E-001    6.8018064601E+000    1.0694711008E-001    1.5945567022E+001    2.5197087223E-001    7.6487584488E+000    1.2053095769E-001    9.1166775402E+000    1.4334461326E-001    1.4074056378E+001    2.2178233306E-001    1.1615126672E+001    1.8354151938E-001
    6.3095734448E+001    7.1264278960E+001    7.9432823472E+001    7.0634479019E+000    1.0243838110E-001    4.6823685660E+000    6.8003532719E-002    1.0996831187E+001    1.5927545630E-001    5.2699248556E+000    7.6427628296E-002    6.2759275188E+000    9.1147297859E-002    9.6968965645E+000    1.4063024171E-001    8.0103509054E+000    1.1601999466E-001
    7.9432823472E+001    8.9716411736E+001    1.0000000000E+002    5.0384595131E+000    9.4047941681E-002    3.3334411103E+000    6.2039871224E-002    7.8615513272E+000    1.4731730910E-001    3.7591135931E+000    7.0167656415E-002    4.4679171453E+000    8.3154012672E-002    6.9169365190E+000    1.2911161450E-001    5.7265391930E+000    1.0730939852E-001
#nx: 3
