time (unix)	dt (s)	p (Pa)
1616499947.368	1.609	1070.845
1616499977.353	1.613	1064.553
1616500007.355	1.610	1057.673
1616500037.349	1.609	1050.743
1616500067.347	1.606	1044.118
1616500097.352	1.609	1037.840
1616500127.352	1.610	1031.370
1616500157.349	1.607	1024.907
1616500187.357	1.611	1018.168
1616500217.354	1.614	1011.572
1616500247.354	1.612	1005.587
1616500277.354	1.612	998.680
1616500307.350	1.609	991.832
1616500337.355	1.611	985.137
1616500367.353	1.610	978.145
1616500397.348	1.607	972.307
1616500427.353	1.611	966.085
1616500457.349	1.607	959.542
1616500487.354	1.613	952.847
1616500517.351	1.609	946.667
1616500547.351	1.612	940.600
1616500577.347	1.606	935.140
1616500607.350	1.610	929.640
1616500637.354	1.611	924.500
1616500667.356	1.612	919.123
1616500697.349	1.607	914.502
1616500727.349	1.609	909.402
1616500757.350	1.610	904.273
1616500787.350	1.610	899.490
1616500817.350	1.611	894.853
1616500847.350	1.610	891.330
1616500877.352	1.610	887.563
1616500907.354	1.613	883.952
1616500937.353	1.610	880.347
1616500967.351	1.609	876.663
1616500997.352	1.611	873.462
1616501027.355	1.612	870.548
1616501057.351	1.610	867.898
1616501087.354	1.612	864.807
1616501117.352	1.610	862.457
1616501147.353	1.610	859.760
1616501177.354	1.611	857.430
1616501207.349	1.609	854.907
1616501237.352	1.610	852.882
1616501267.351	1.609	851.142
1616501297.352	1.610	848.860
1616501327.354	1.610	846.985
1616501357.351	1.613	845.202
1616501387.352	1.609	843.557
1616501417.351	1.609	841.643
1616501447.355	1.613	840.177
1616501477.348	1.609	838.388
1616501507.350	1.611	837.072
1616501537.351	1.610	835.540
1616501567.353	1.612	834.177
1616501597.355	1.613	832.758
1616501627.352	1.612	831.608
1616501657.348	1.609	830.403
1616501687.354	1.614	829.228
1616501717.352	1.610	828.188
1616501747.350	1.610	827.317
1616501777.352	1.610	826.360
1616501807.352	1.612	825.387
1616501837.352	1.610	824.602
1616501867.352	1.610	823.953
1616501897.349	1.609	823.107
1616501927.351	1.610	822.315
1616501957.351	1.610	821.548
1616501987.353	1.611	820.973
1616502017.352	1.610	820.537
1616502047.350	1.610	820.040
1616502077.348	1.610	819.250
1616502107.353	1.614	818.870
1616502137.352	1.608	818.223
1616502167.353	1.610	817.747
1616502197.353	1.610	817.132
1616502227.351	1.610	816.780
1616502257.351	1.613	816.490
1616502287.346	1.606	816.105
1616502317.356	1.611	815.842
1616502347.356	1.612	815.687
1616502377.351	1.609	815.047
1616502407.352	1.613	814.632
1616502437.353	1.609	814.280
1616502467.348	1.607	813.962
1616502497.351	1.610	813.647
1616502527.353	1.612	813.413
1616502557.349	1.610	813.072
1616502587.353	1.613	812.572
1616502617.354	1.609	812.262
1616502647.352	1.610	812.013
1616502677.352	1.612	811.838
1616502707.349	1.610	811.627
1616502737.348	1.607	811.595
1616502767.350	1.612	811.397
1616502797.355	1.612	811.230
1616502827.355	1.610	811.128
1616502857.350	1.609	811.002
1616502887.349	1.609	810.942
1616502917.357	1.613	810.808
1616502947.355	1.610	810.787
1616502977.351	1.609	810.752
1616503007.352	1.610	810.640
1616503037.352	1.612	810.472
1616503067.351	1.610	810.433
1616503097.353	1.613	810.387
1616503127.351	1.609	810.203
1616503157.352	1.611	810.085
1616503187.351	1.610	810.013
1616503217.357	1.613	809.888
1616503247.350	1.610	809.692
1616503277.355	1.613	809.643
1616503307.351	1.606	809.555
1616503337.350	1.611	809.592
1616503367.351	1.610	809.488
1616503397.350	1.610	809.378
1616503427.356	1.614	809.337
1616503457.353	1.611	809.317
1616503487.348	1.607	809.338
1616503517.352	1.611	809.337
1616503547.349	1.607	809.187
1616503577.352	1.610	809.092
1616503607.355	1.610	808.912
1616503637.350	1.609	809.000
1616503667.349	1.610	808.967
1616503697.351	1.609	808.915
1616503727.354	1.613	808.818
1616503757.351	1.613	808.818
1616503787.351	1.609	808.790
1616503817.350	1.610	808.792
1616503847.351	1.609	808.775
1616503877.351	1.610	808.760
1616503907.351	1.610	808.807
1616503937.347	1.609	808.788
1616503967.354	1.609	808.807
1616503997.355	1.613	808.798
1616504027.348	1.610	808.767
1616504057.354	1.611	808.818
1616504087.352	1.610	808.805
1616504117.352	1.612	808.905
1616504147.353	1.610	809.303
1616504177.353	1.610	809.788
1616504207.355	1.613	810.538
1616504237.351	1.610	811.125
1616504267.351	1.610	812.105
1616504297.353	1.610	813.405
1616504327.349	1.609	815.097
1616504357.353	1.613	816.798
1616504387.354	1.610	818.643
1616504417.347	1.609	820.537
1616504447.350	1.612	822.578
1616504477.349	1.612	824.893
1616504507.350	1.611	827.588
1616504537.355	1.611	830.195
1616504567.352	1.610	833.185
1616504597.351	1.613	836.472
1616504627.350	1.611	839.697
1616504657.349	1.610	843.233
1616504687.353	1.612	846.633
1616504717.351	1.610	850.187
1616504747.354	1.613	853.498
1616504777.351	1.610	857.125
1616504807.351	1.610	861.157
1616504837.348	1.610	865.112
1616504867.349	1.610	869.377
1616504897.355	1.611	873.402
1616504927.353	1.612	877.750
1616504957.353	1.611	882.528
1616504987.352	1.610	887.052
1616505017.351	1.609	891.885
1616505047.352	1.611	896.223
1616505077.351	1.610	901.512
1616505107.351	1.610	906.817
1616505137.349	1.609	912.315
1616505167.354	1.613	917.080
1616505197.353	1.612	922.240
1616505227.350	1.609	927.197
1616505257.355	1.611	932.723
1616505287.350	1.610	937.550
1616505317.351	1.609	942.813
1616505347.351	1.609	948.310
1616505377.351	1.610	953.963
1616505407.349	1.607	959.570
1616505437.350	1.610	965.415
1616505467.349	1.609	970.427
1616505497.354	1.612	975.570
1616505527.351	1.610	981.003
1616505557.353	1.612	986.890
1616505587.349	1.609	992.580
1616505617.352	1.613	998.482
1616505647.348	1.606	1004.635
1616505677.350	1.610	1010.183
1616505707.347	1.607	1015.998
1616505737.351	1.611	1021.922
1616505767.351	1.610	1027.838
1616505797.352	1.610	1033.575
1616505827.355	1.611	1039.387
1616505857.356	1.610	1045.157
1616505887.350	1.610	1050.912
1616505917.355	1.612	1057.068
1616505947.345	1.606	1063.028
1616505977.349	1.609	1069.223
1616506007.352	1.611	1075.258
1616506037.350	1.609	1081.473
1616506067.352	1.610	1087.758
1616506097.352	1.613	1093.898
1616506127.350	1.609	1100.042
1616506157.352	1.610	1105.932
1616506187.354	1.611	1112.265
1616506217.354	1.611	1118.130
1616506247.355	1.613	1124.165
1616506277.350	1.609	1130.222
1616506307.351	1.609	1136.472
1616506337.353	1.613	1142.957
1616506367.349	1.610	1149.063
1616506397.348	1.606	1154.895
1616506427.351	1.609	1161.130
1616506457.347	1.607	1167.252
1616506487.354	1.611	1173.852
1616506517.351	1.610	1179.705
1616506547.350	1.610	1185.982
1616506577.354	1.611	1192.478
1616506607.354	1.610	1198.762
1616506637.351	1.610	1205.330
1616506667.351	1.611	1211.612
1616506697.352	1.609	1217.722
1616506727.351	1.610	1224.172
1616506757.354	1.611	1230.258
1616506787.352	1.610	1236.653
1616506817.354	1.613	1242.762
1616506847.353	1.607	1249.220
1616506877.352	1.610	1255.578
1616506907.352	1.612	1261.985
1616506937.352	1.610	1268.417
1616506967.352	1.612	1274.930
1616506997.356	1.613	1281.275
1616507027.353	1.610	1287.648
1616507057.354	1.610	1294.045
1616507087.353	1.612	1300.547
1616507117.353	1.610	1306.987
1616507147.354	1.613	1313.525
1616507177.353	1.609	1320.090
1616507207.357	1.612	1326.103
1616507237.348	1.607	1332.387
1616507267.352	1.611	1338.917
1616507297.354	1.611	1345.263
1616507327.351	1.610	1351.890
1616507357.350	1.609	1358.245
1616507387.351	1.609	1364.548
1616507417.351	1.610	1371.305
1616507447.348	1.607	1377.483
1616507477.353	1.610	1384.053
1616507507.349	1.609	1390.383
1616507537.354	1.613	1396.752
1616507567.349	1.607	1403.397
1616507597.351	1.612	1409.873
1616507627.350	1.609	1416.450
1616507657.352	1.612	1423.112
1616507687.357	1.613	1429.373
1616507717.352	1.610	1435.680
1616507747.350	1.612	1442.220
1616507777.350	1.610	1448.595
1616507807.350	1.610	1454.952
1616507837.355	1.612	1461.158
1616507867.351	1.610	1467.958
1616507897.350	1.610	1474.157
1616507927.348	1.607	1480.510
1616507957.355	1.613	1487.095
1616507987.355	1.613	1493.802
1616508017.352	1.611	1500.337
1616508047.351	1.610	1506.865
1616508077.354	1.612	1513.078
1616508107.349	1.609	1519.620
1616508137.351	1.610	1525.938
1616508167.352	1.612	1532.605
1616508197.350	1.607	1539.022
1616508227.356	1.614	1545.598
1616508257.351	1.610	1552.287
1616508287.354	1.612	1558.627
1616508317.347	1.609	1564.995
1616508347.352	1.610	1571.680
1616508377.350	1.610	1578.183
1616508407.359	1.613	1584.563
1616508437.355	1.611	1591.127
1616508467.351	1.613	1597.328
1616508497.350	1.609	1603.803
1616508527.352	1.611	1610.433
1616508557.347	1.609	1616.905
1616508587.351	1.611	1623.442
1616508617.352	1.610	1629.850
1616508647.355	1.613	1636.350
1616508677.352	1.612	1642.928
1616508707.354	1.614	1649.383
1616508737.346	1.607	1656.137
1616508767.355	1.613	1662.790
1616508797.349	1.608	1668.957
1616508827.346	1.608	1675.665
1616508857.351	1.610	1682.280
1616508887.355	1.613	1688.608
1616508917.353	1.611	1695.155
1616508947.354	1.613	1701.478
1616508977.347	1.609	1708.110
1616509007.355	1.611	1714.875
1616509037.350	1.606	1721.480
1616509067.352	1.613	1728.077
1616509097.350	1.610	1734.475
1616509127.353	1.612	1740.953
1616509157.352	1.611	1747.247
1616509187.349	1.609	1753.732
1616509217.353	1.613	1760.113
1616509247.350	1.610	1766.568
1616509277.352	1.610	1773.355
1616509307.349	1.610	1779.895
1616509337.351	1.609	1786.410
1616509367.349	1.609	1792.672
1616509397.354	1.613	1799.080
1616509427.347	1.607	1805.773
1616509457.354	1.613	1812.285
1616509487.352	1.610	1818.750
1616509517.349	1.609	1825.458
1616509547.354	1.612	1831.892
1616509577.354	1.610	1838.355
1616509607.352	1.611	1844.798
1616509637.349	1.609	1851.375
1616509667.352	1.611	1857.857
1616509697.354	1.612	1864.542
1616509727.352	1.610	1870.868
1616509757.352	1.612	1877.402
1616509787.350	1.609	1884.088
1616509817.348	1.609	1890.508
1616509847.350	1.609	1897.058
1616509877.353	1.612	1903.678
1616509907.357	1.614	1909.775
1616509937.346	1.608	1916.350
1616509967.354	1.610	1922.843
1616509997.355	1.613	1929.342
1616510027.353	1.610	1936.377
1616510057.350	1.609	1942.592
1616510087.352	1.611	1948.695
1616510117.348	1.607	1955.298
1616510147.354	1.613	1962.205
1616510177.355	1.614	1968.758
1616510207.352	1.613	1974.715
1616510237.347	1.606	1981.422
1616510267.354	1.611	1988.130
1616510297.347	1.609	1994.627
1616510327.355	1.611	2001.350
1616510357.349	1.609	2007.838
1616510387.351	1.611	2014.030
1616510417.352	1.610	2020.760
1616510447.354	1.613	2027.102
1616510477.354	1.610	2033.317
1616510507.355	1.614	2039.905
1616510537.349	1.609	2046.480
1616510567.351	1.613	2053.182
1616510597.351	1.610	2059.782
1616510627.348	1.609	2065.622
1616510657.347	1.609	2072.375
1616510687.355	1.614	2078.753
1616510717.347	1.609	2085.150
1616510747.352	1.612	2092.063
1616510777.353	1.611	2098.588
1616510807.350	1.609	2105.125
1616510837.351	1.613	2111.765
1616510867.348	1.609	2117.835
1616510897.346	1.607	2124.653
1616510927.348	1.608	2130.887
1616510957.351	1.612	2137.470
1616510987.347	1.608	2144.128
1616511017.351	1.612	2150.662
1616511047.355	1.611	2157.122
1616511077.352	1.610	2163.298
1616511107.355	1.614	2170.178
1616511137.347	1.606	2176.832
1616511167.348	1.610	2183.255
1616511197.352	1.610	2189.877
1616511227.350	1.613	2196.518
1616511257.352	1.613	2202.682
1616511287.349	1.609	2209.288
1616511317.348	1.607	2215.817
1616511347.353	1.611	2222.072
1616511377.352	1.609	2228.502
1616511407.354	1.611	2234.878
1616511437.353	1.610	2241.257
1616511467.352	1.611	2247.975
1616511497.351	1.612	2254.622
1616511527.350	1.610	2260.938
1616511557.351	1.609	2267.368
1616511587.352	1.611	2273.822
1616511617.349	1.607	2280.588
1616511647.352	1.611	2287.130
1616511677.346	1.609	2293.302
1616511707.352	1.613	2300.152
1616511737.351	1.609	2306.442
1616511767.348	1.610	2312.887
1616511797.357	1.613	2319.585
1616511827.354	1.610	2325.635
1616511857.351	1.610	2332.515
1616511887.349	1.610	2338.817
1616511917.353	1.613	2345.417
1616511947.350	1.609	2351.643
1616511977.352	1.612	2358.145
1616512007.354	1.609	2364.790
1616512037.354	1.611	2370.730
1616512067.349	1.607	2377.317
1616512097.354	1.614	2384.025
1616512127.353	1.610	2389.967
1616512157.353	1.610	2396.567
1616512187.349	1.607	2403.067
1616512217.352	1.611	2409.483
1616512247.352	1.611	2415.662
1616512277.351	1.610	2422.202
1616512307.354	1.611	2428.737
1616512337.353	1.611	2434.957
1616512367.347	1.607	2441.870
1616512397.353	1.612	2448.172
1616512427.350	1.611	2454.848
1616512457.354	1.612	2461.322
1616512487.355	1.613	2467.952
1616512517.351	1.609	2474.637
1616512547.349	1.612	2481.278
1616512577.350	1.609	2487.560
1616512607.351	1.612	2493.775
1616512637.349	1.608	2500.377
1616512667.350	1.608	2506.475
1616512697.350	1.611	2513.290
1616512727.350	1.609	2519.993
1616512757.351	1.609	2526.028
1616512787.353	1.612	2532.577
1616512817.351	1.610	2539.445
1616512847.351	1.607	2545.653
1616512877.348	1.609	2552.123
1616512907.353	1.613	2558.232
1616512937.349	1.609	2564.982
1616512967.354	1.610	2571.303
1616512997.352	1.609	2577.663
1616513027.351	1.610	2584.032
1616513057.350	1.610	2590.430
1616513087.347	1.606	2596.865
1616513117.350	1.609	2604.127
1616513147.347	1.609	2609.983
1616513177.354	1.611	2616.525
1616513207.354	1.611	2622.758
1616513237.352	1.610	2629.003
1616513267.352	1.609	2635.103
1616513297.352	1.613	2641.972
1616513327.352	1.609	2648.675
1616513357.352	1.609	2655.330
1616513387.348	1.609	2661.670
1616513417.351	1.611	2668.305
1616513447.354	1.613	2674.818
1616513477.347	1.609	2681.355
1616513507.355	1.612	2688.038
1616513537.352	1.610	2693.687
1616513567.353	1.613	2700.488
1616513597.352	1.610	2706.722
1616513627.354	1.611	2713.262
1616513657.350	1.612	2719.540
1616513687.355	1.610	2725.602
1616513717.353	1.610	2732.338
1616513747.350	1.609	2738.607
1616513777.352	1.610	2744.973
1616513807.351	1.610	2751.918
1616513837.351	1.610	2757.348
1616513867.355	1.614	2764.378
1616513897.357	1.611	2771.190
1616513927.354	1.611	2778.015
1616513957.354	1.611	2783.743
1616513987.350	1.609	2790.167
1616514017.348	1.607	2796.897
1616514047.349	1.611	2803.265
1616514077.350	1.609	2809.735
1616514107.346	1.607	2816.508
1616514137.351	1.610	2821.827
1616514167.352	1.611	2827.878
1616514197.354	1.611	2835.173
1616514227.351	1.609	2840.895
1616514257.353	1.610	2847.017
1616514287.352	1.609	2853.357
1616514317.353	1.610	2859.533
1616514347.352	1.612	2864.965
1616514377.350	1.610	2871.132
1616514407.352	1.610	2876.603
1616514437.349	1.607	2881.335
1616514467.354	1.610	2886.362
1616514497.353	1.609	2891.787
1616514527.353	1.611	2897.113
1616514557.348	1.607	2901.338
1616514587.352	1.610	2905.028
1616514617.354	1.612	2908.728
1616514647.347	1.607	2912.033
1616514677.355	1.610	2916.818
1616514707.353	1.611	2920.695
1616514737.353	1.613	2924.515
1616514767.352	1.607	2928.762
1616514797.353	1.613	2931.943
1616514827.352	1.610	2934.745
1616514857.351	1.609	2938.023
1616514887.351	1.609	2941.550
1616514917.355	1.613	2943.502
1616514947.354	1.613	2944.475
1616514977.353	1.609	2947.645
1616515007.354	1.613	2951.008
1616515037.351	1.610	2952.973
1616515067.350	1.610	2955.070
1616515097.349	1.609	2956.750
1616515127.355	1.613	2959.110
1616515157.352	1.610	2960.717
1616515187.351	1.610	2962.645
1616515217.353	1.611	2963.997
1616515247.348	1.606	2966.128
1616515277.353	1.613	2968.323
1616515307.347	1.608	2969.203
1616515337.353	1.613	2971.427
1616515367.348	1.608	2973.107
1616515397.354	1.612	2973.788
1616515427.351	1.609	2975.205
1616515457.351	1.613	2975.672
1616515487.349	1.607	2976.295
1616515517.353	1.613	2978.852
1616515547.351	1.610	2979.645
1616515577.352	1.613	2980.067
1616515607.351	1.609	2980.758
1616515637.357	1.611	2981.405
1616515667.354	1.610	2982.472
1616515697.348	1.609	2984.103
1616515727.353	1.611	2985.077
1616515757.354	1.611	2985.498
1616515787.350	1.610	2985.698
1616515817.352	1.612	2987.062
1616515847.352	1.609	2987.718
1616515877.347	1.609	2987.918
1616515907.353	1.612	2988.268
1616515937.352	1.612	2989.317
1616515967.351	1.610	2990.277
1616515997.349	1.612	2991.135
1616516027.353	1.610	2991.502
1616516057.353	1.611	2992.502
1616516087.351	1.609	2993.550
1616516117.352	1.610	2994.648
1616516147.349	1.610	2994.647
1616516177.352	1.613	2994.053
1616516207.348	1.609	2994.548
1616516237.354	1.613	2995.628
1616516267.352	1.610	2996.280
1616516297.356	1.613	2996.888
1616516327.354	1.610	2996.978
1616516357.349	1.609	2997.385
1616516387.356	1.614	2998.013
1616516417.352	1.610	2997.530
1616516447.352	1.610	2998.838
1616516477.350	1.611	2998.520
1616516507.354	1.612	2997.860
1616516537.347	1.607	2999.475
1616516567.354	1.611	2999.637
1616516597.350	1.610	2998.977
1616516627.357	1.614	3000.252
1616516657.350	1.609	2998.075
1616516687.353	1.610	3000.247
1616516717.353	1.611	3000.615
1616516747.345	1.606	3000.032
1616516777.353	1.613	2999.645
1616516807.352	1.609	3000.477
1616516837.355	1.612	3001.743
1616516867.351	1.612	3002.185
1616516897.346	1.606	3001.627
