time (unix)	dt (s)	p (Pa)
1616510822.351	1.611	2108.33
1616510942.348	1.609	2134.28
1616511062.353	1.612	2160.32
1616511182.350	1.610	2186.62
1616511302.350	1.610	2212.46
1616511422.353	1.610	2238.15
1616511542.351	1.610	2264.19
1616511662.350	1.610	2290.29
1616511782.353	1.610	2316.14
1616511902.351	1.610	2342.10
1616512022.352	1.610	2367.75
1616512142.352	1.610	2393.41
1616512262.352	1.611	2419.02
1616512382.351	1.610	2444.96
1616512502.352	1.611	2471.30
1616512622.350	1.609	2497.05
1616512742.351	1.610	2522.97
1616512862.351	1.610	2548.86
1616512982.351	1.610	2574.49
1616513102.349	1.609	2600.35
1616513222.353	1.610	2625.85
1616513342.351	1.610	2651.91
1616513462.352	1.611	2678.13
1616513582.353	1.611	2703.54
1616513702.352	1.610	2729.02
1616513822.352	1.611	2754.65
1616513942.354	1.611	2780.78
1616514062.348	1.609	2806.60
1616514182.352	1.610	2831.44
1616514302.353	1.610	2856.22
1616514422.351	1.609	2878.86
1616514542.351	1.609	2898.82
1616514662.352	1.610	2914.57
1616514782.352	1.611	2929.99
1616514902.353	1.611	2941.89
1616515022.352	1.611	2951.67
1616515142.352	1.610	2959.81
1616515262.351	1.609	2966.91
1616515382.351	1.610	2973.38
1616515502.351	1.611	2977.62
1616515622.354	1.611	2981.18
1616515742.351	1.610	2985.09
1616515862.351	1.610	2987.74
1616515982.351	1.611	2990.56
1616516102.351	1.610	2993.84
1616516222.352	1.611	2995.13
1616516342.354	1.612	2997.32
1616516462.352	1.611	2998.19
1616516582.352	1.611	2999.58
1616516702.350	1.609	2999.74
1616516822.353	1.611	3001.01
1616516942.350	1.609	3001.97
1616517062.351	1.610	3002.02
1616517182.350	1.609	3002.84
1616517302.351	1.611	3003.07
1616517422.351	1.610	3003.54
1616517542.350	1.610	3003.57
1616517662.350	1.610	3003.81
1616517782.351	1.610	3004.23
1616517902.354	1.611	3004.05
1616518022.351	1.610	3001.16
1616518142.349	1.609	2994.93
1616518262.350	1.611	2988.48
1616518382.351	1.610	2977.91
1616518502.350	1.611	2965.96
1616518622.349	1.609	2952.12
1616518742.349	1.609	2934.50
1616518862.350	1.610	2915.77
1616518982.350	1.610	2895.34
1616519102.351	1.609	2874.44
1616519222.350	1.610	2852.59
1616519342.352	1.611	2829.99
1616519462.350	1.609	2806.72
1616519582.349	1.609	2782.46
1616519702.350	1.609	2758.51
1616519822.351	1.610	2734.25
1616519942.351	1.610	2710.07
1616520062.350	1.609	2685.10
1616520182.351	1.610	2659.46
1616520302.349	1.610	2634.63
1616520422.350	1.610	2609.26
1616520542.353	1.611	2583.90
1616520662.350	1.610	2557.87
1616520782.350	1.609	2532.70
1616520902.352	1.610	2507.56
1616521022.350	1.610	2481.74
1616521142.350	1.609	2456.31
1616521262.352	1.611	2430.63
1616521382.351	1.611	2405.55
1616521502.350	1.609	2379.73
1616521622.350	1.610	2353.99
1616521742.351	1.610	2328.30
1616521862.350	1.610	2301.97
1616521982.350	1.609	2275.95
1616522102.350	1.610	2250.27
1616522222.351	1.610	2224.47
1616522342.351	1.609	2198.81
1616522462.349	1.609	2173.34
1616522582.352	1.611	2147.55
1616522702.350	1.610	2121.83
1616522822.351	1.610	2095.64
1616522942.350	1.611	2069.91
1616523062.349	1.610	2044.39
1616523182.351	1.610	2018.68
1616523302.350	1.610	1992.57
1616523422.351	1.611	1966.39
1616523542.350	1.610	1940.35
1616523662.351	1.610	1914.12
1616523782.350	1.609	1888.44
1616523902.351	1.611	1862.14
1616524022.353	1.610	1836.23
1616524142.352	1.610	1809.92
1616524262.349	1.609	1784.04
1616524382.350	1.610	1757.96
1616524502.349	1.610	1731.92
1616524622.350	1.610	1705.48
1616524742.351	1.610	1679.64
1616524862.351	1.610	1653.23
1616524982.349	1.609	1627.28
1616525102.350	1.611	1601.09
1616525222.350	1.609	1575.14
1616525342.350	1.610	1549.40
1616525462.351	1.610	1523.01
1616525582.351	1.611	1496.89
1616525702.350	1.609	1470.74
1616525822.349	1.609	1444.84
1616525942.349	1.609	1418.64
1616526062.351	1.611	1392.14
1616526182.349	1.610	1366.43
1616526302.350	1.610	1340.32
1616526422.351	1.610	1314.47
1616526542.350	1.610	1288.05
1616526662.350	1.611	1262.03
1616526782.349	1.609	1235.83
1616526902.349	1.610	1209.84
1616527022.350	1.610	1183.54
1616527142.350	1.610	1157.32
1616527262.351	1.609	1131.29
1616527382.352	1.610	1105.12
1616527502.349	1.609	1078.48
1616527622.351	1.610	1051.97
1616527742.350	1.610	1026.47
1616527862.350	1.609	999.88
1616527982.349	1.610	973.84
1616528102.350	1.610	950.39
1616528222.350	1.609	929.77
1616528342.352	1.611	912.12
1616528462.349	1.610	896.85
1616528582.349	1.609	884.44
1616528702.351	1.611	873.91
1616528822.350	1.610	865.48
1616528942.349	1.609	858.12
1616529062.349	1.610	852.71
1616529182.351	1.610	847.67
1616529302.350	1.610	843.67
1616529422.350	1.610	840.10
1616529542.349	1.609	837.54
1616529662.351	1.611	834.92
1616529782.352	1.611	832.90
1616529902.352	1.610	831.43
1616530022.349	1.610	829.89
1616530142.350	1.610	828.87
1616530262.349	1.611	828.02
1616530382.350	1.610	827.25
1616530502.348	1.610	826.75
1616530622.350	1.610	826.31
1616530742.349	1.609	826.00
1616530862.350	1.610	825.57
1616530982.352	1.610	825.14
1616531102.351	1.610	824.87
1616531222.350	1.609	824.80
1616531342.350	1.609	824.72
1616531462.352	1.611	824.62
1616531582.349	1.610	824.93
1616531702.347	1.610	827.06
1616531822.350	1.610	831.79
1616531942.350	1.610	840.05
1616532062.350	1.610	850.55
1616532182.352	1.611	863.35
1616532302.351	1.610	878.13
1616532422.349	1.611	895.11
1616532542.350	1.610	914.36
1616532662.350	1.609	934.41
1616532782.349	1.609	955.62
1616532902.349	1.609	976.76
1616533022.350	1.609	998.98
1616533142.351	1.611	1021.77
1616533262.349	1.609	1044.69
1616533382.351	1.611	1068.11
1616533502.350	1.610	1092.46
1616533622.351	1.610	1116.51
1616533742.350	1.610	1140.67
1616533862.351	1.611	1164.85
1616533982.349	1.610	1189.30
1616534102.349	1.611	1214.19
1616534222.349	1.611	1238.69
1616534342.351	1.610	1263.74
1616534462.351	1.610	1289.18
1616534582.350	1.610	1314.62
1616534702.350	1.609	1339.99
1616534822.352	1.611	1365.53
1616534942.350	1.610	1391.12
1616535062.351	1.610	1417.08
1616535182.351	1.611	1442.98
1616535302.352	1.611	1468.74
1616535422.350	1.610	1494.71
1616535542.351	1.611	1520.68
1616535662.349	1.610	1546.73
1616535782.350	1.610	1572.87
1616535902.349	1.610	1598.68
1616536022.351	1.610	1624.79
1616536142.350	1.609	1650.95
1616536262.349	1.610	1677.16
1616536382.349	1.609	1703.20
1616536502.349	1.609	1729.81
1616536622.351	1.610	1755.60
1616536742.351	1.611	1781.67
1616536862.351	1.611	1807.40
1616536982.349	1.609	1833.66
1616537102.351	1.610	1859.81
1616537222.348	1.610	1885.93
1616537342.350	1.610	1911.94
1616537462.351	1.611	1938.27
1616537582.349	1.610	1964.10
1616537702.352	1.611	1990.15
1616537822.348	1.609	2016.37
1616537942.349	1.610	2042.14
1616538062.349	1.610	2068.01
1616538182.348	1.609	2094.08
1616538302.351	1.610	2119.93
1616538422.351	1.610	2145.90
1616538542.351	1.610	2171.78
1616538662.352	1.612	2198.04
1616538782.350	1.610	2224.24
1616538902.350	1.610	2250.24
1616539022.351	1.610	2276.33
1616539142.348	1.609	2302.28
1616539262.351	1.611	2328.09
1616539382.349	1.610	2353.99
1616539502.351	1.610	2379.70
1616539622.349	1.609	2405.32
1616539742.351	1.611	2430.79
1616539862.350	1.611	2456.58
1616539982.350	1.610	2482.82
1616540102.350	1.610	2508.83
1616540222.351	1.610	2534.57
1616540342.349	1.610	2560.09
1616540462.349	1.610	2584.94
1616540582.350	1.610	2611.15
1616540702.350	1.609	2636.94
1616540822.349	1.610	2662.86
1616540942.349	1.610	2688.76
1616541062.348	1.610	2714.59
1616541182.350	1.610	2740.37
1616541302.351	1.610	2765.92
1616541422.349	1.609	2791.28
1616541542.348	1.610	2816.79
1616541662.350	1.610	2842.66
1616541782.350	1.610	2867.57
1616541902.350	1.610	2889.69
1616542022.350	1.610	2908.88
1616542142.350	1.609	2926.18
1616542262.350	1.610	2940.95
1616542382.349	1.611	2952.94
1616542502.351	1.610	2962.79
1616542622.350	1.611	2970.73
1616542742.350	1.610	2979.29
1616542862.350	1.609	2985.09
1616542982.351	1.610	2990.09
1616543102.350	1.609	2993.92
1616543222.350	1.611	2996.75
1616543342.349	1.609	2999.77
1616543462.349	1.610	3003.42
1616543582.348	1.609	3005.88
1616543702.351	1.610	3006.55
1616543822.349	1.610	3008.64
1616543942.349	1.609	3010.69
1616544062.351	1.611	3011.73
1616544182.350	1.610	3012.75
1616544302.351	1.610	3012.81
1616544422.349	1.609	3013.70
1616544542.349	1.610	3015.55
1616544662.349	1.610	3014.27
1616544782.350	1.610	3013.70
1616544902.350	1.610	3015.25
1616545022.350	1.611	3016.67
1616545142.350	1.610	3017.30
1616545262.350	1.610	3017.85
1616545382.350	1.610	3018.08
1616545502.351	1.610	3015.72
1616545622.349	1.610	3010.80
1616545742.351	1.609	3004.97
1616545862.350	1.610	2996.03
1616545982.350	1.610	2984.09
1616546102.350	1.610	2969.60
1616546222.349	1.611	2953.89
1616546342.350	1.610	2935.23
1616546462.349	1.609	2916.89
1616546582.350	1.610	2895.77
1616546702.351	1.610	2875.08
1616546822.349	1.609	2852.68
1616546942.349	1.610	2829.31
1616547062.350	1.610	2806.52
1616547182.350	1.610	2782.83
1616547302.349	1.610	2758.64
1616547422.348	1.609	2733.94
1616547542.351	1.611	2709.85
1616547662.349	1.610	2685.03
1616547782.351	1.610	2659.33
1616547902.350	1.610	2633.99
1616548022.350	1.610	2608.44
1616548142.350	1.610	2583.39
1616548262.351	1.610	2557.65
1616548382.351	1.610	2532.29
1616548502.350	1.611	2506.73
1616548622.350	1.611	2481.09
1616548742.349	1.609	2454.69
1616548862.351	1.611	2428.79
1616548982.352	1.611	2403.30
1616549102.350	1.610	2377.91
1616549222.348	1.610	2352.47
1616549342.351	1.610	2327.06
1616549462.348	1.609	2301.14
1616549582.350	1.610	2274.97
1616549702.349	1.609	2248.84
1616549822.351	1.611	2223.70
1616549942.351	1.609	2197.64
1616550062.351	1.610	2171.88
1616550182.350	1.610	2146.38
1616550302.351	1.610	2120.47
1616550422.348	1.609	2094.65
1616550542.351	1.611	2068.81
1616550662.351	1.610	2043.04
1616550782.349	1.609	2017.30
1616550902.350	1.610	1991.04
1616551022.349	1.609	1965.19
1616551142.350	1.610	1938.94
1616551262.350	1.610	1912.99
1616551382.352	1.611	1886.93
1616551502.350	1.610	1860.67
1616551622.351	1.610	1834.53
1616551742.349	1.611	1808.16
1616551862.349	1.610	1782.29
1616551982.350	1.611	1756.12
1616552102.350	1.609	1730.08
1616552222.350	1.609	1703.95
1616552342.351	1.611	1677.53
1616552462.352	1.611	1651.52
1616552582.350	1.610	1625.54
1616552702.351	1.610	1599.60
1616552822.350	1.610	1573.28
1616552942.350	1.610	1547.26
1616553062.350	1.610	1521.03
1616553182.350	1.610	1495.04
1616553302.350	1.610	1468.91
1616553422.350	1.610	1443.13
1616553542.349	1.609	1416.75
1616553662.350	1.610	1390.68
1616553782.352	1.611	1364.55
1616553902.349	1.610	1338.60
1616554022.349	1.610	1312.86
1616554142.347	1.609	1286.41
1616554262.349	1.610	1260.12
1616554382.352	1.610	1234.12
1616554502.348	1.609	1207.89
1616554622.350	1.610	1181.65
1616554742.349	1.609	1155.55
1616554862.350	1.610	1129.46
1616554982.351	1.610	1103.55
1616555102.351	1.610	1076.89
1616555222.349	1.610	1050.35
1616555342.350	1.609	1024.62
1616555462.354	1.612	998.21
1616555582.349	1.610	973.77
1616555702.349	1.609	952.32
1616555822.349	1.609	934.16
1616555942.351	1.610	918.68
1616556062.348	1.609	905.16
1616556182.349	1.608	893.78
1616556302.349	1.610	884.84
1616556422.351	1.610	877.03
1616556542.351	1.611	871.01
1616556662.351	1.609	865.58
1616556782.350	1.609	861.11
1616556902.352	1.611	857.43
1616557022.349	1.609	854.26
1616557142.349	1.610	852.20
1616557262.351	1.610	849.97
1616557382.351	1.612	848.30
1616557502.350	1.610	846.95
1616557622.349	1.610	845.70
1616557742.350	1.611	844.95
1616557862.349	1.610	843.99
1616557982.349	1.611	843.38
1616558102.352	1.609	842.77
1616558222.349	1.609	842.34
1616558342.350	1.611	842.00
1616558462.351	1.610	841.71
1616558582.349	1.610	841.50
1616558702.351	1.611	841.36
1616558822.350	1.610	841.23
1616558942.350	1.610	841.18
1616559062.350	1.610	841.10
1616559182.349	1.610	842.49
1616559302.349	1.610	846.65
1616559422.350	1.610	853.73
1616559542.349	1.609	863.55
1616559662.349	1.610	875.66
1616559782.350	1.611	890.05
1616559902.350	1.611	906.77
1616560022.350	1.609	925.08
1616560142.351	1.611	944.78
1616560262.347	1.609	966.01
1616560382.350	1.611	986.57
1616560502.350	1.611	1009.15
1616560622.351	1.610	1031.95
1616560742.349	1.609	1054.73
1616560862.351	1.611	1078.57
1616560982.349	1.610	1102.77
1616561102.350	1.610	1126.82
1616561222.349	1.610	1151.38
1616561342.350	1.609	1175.86
1616561462.349	1.610	1200.94
1616561582.350	1.610	1225.78
1616561702.350	1.610	1251.03
1616561822.350	1.610	1276.50
1616561942.349	1.610	1301.92
1616562062.348	1.610	1327.34
1616562182.349	1.609	1352.64
1616562302.351	1.611	1378.02
1616562422.350	1.609	1403.56
1616562542.351	1.610	1429.38
1616562662.348	1.609	1454.94
1616562782.348	1.610	1480.58
1616562902.349	1.610	1506.58
1616563022.352	1.611	1532.26
1616563142.349	1.609	1558.26
1616563262.350	1.611	1584.23
1616563382.350	1.611	1609.86
1616563502.350	1.610	1635.59
1616563622.350	1.610	1661.50
1616563742.350	1.611	1687.31
1616563862.347	1.609	1713.23
1616563982.349	1.610	1739.33
1616564102.351	1.611	1765.03
1616564222.351	1.610	1790.99
1616564342.348	1.609	1817.08
1616564462.352	1.611	1843.45
1616564582.350	1.611	1869.55
1616564702.350	1.610	1895.65
1616564822.350	1.611	1921.28
1616564942.349	1.611	1947.32
1616565062.348	1.610	1973.07
1616565182.351	1.611	1999.12
1616565302.351	1.611	2024.94
1616565422.350	1.610	2050.88
1616565542.350	1.610	2076.58
1616565662.349	1.610	2102.89
1616565782.348	1.610	2129.04
1616565902.351	1.610	2155.10
1616566022.351	1.610	2181.29
1616566142.350	1.610	2207.19
1616566262.350	1.610	2232.84
1616566382.349	1.609	2258.96
1616566502.350	1.610	2284.85
1616566622.351	1.610	2310.33
1616566742.349	1.610	2336.31
1616566862.350	1.609	2362.07
1616566982.351	1.611	2387.85
1616567102.351	1.611	2413.40
1616567222.350	1.609	2438.90
1616567342.351	1.611	2464.56
1616567462.351	1.610	2490.43
1616567582.351	1.611	2516.31
1616567702.350	1.610	2542.02
1616567822.351	1.610	2567.29
1616567942.349	1.610	2593.01
1616568062.350	1.609	2618.87
1616568182.350	1.609	2644.16
1616568302.347	1.609	2669.74
1616568422.349	1.609	2694.49
1616568542.349	1.609	2720.88
1616568662.351	1.610	2747.22
1616568782.350	1.610	2772.79
1616568902.349	1.609	2798.52
1616569022.350	1.609	2823.33
1616569142.351	1.610	2849.18
1616569262.351	1.610	2873.64
1616569382.349	1.610	2897.28
1616569502.350	1.610	2917.74
1616569622.347	1.608	2934.19
1616569742.350	1.610	2949.15
1616569862.350	1.609	2962.06
1616569982.351	1.610	2973.54
1616570102.350	1.610	2981.80
1616570222.349	1.609	2990.73
1616570342.350	1.611	2996.28
1616570462.353	1.611	3002.31
1616570582.350	1.611	3005.38
1616570702.352	1.612	3009.69
1616570822.350	1.609	3013.56
1616570942.350	1.610	3015.59
1616571062.349	1.609	3018.41
1616571182.351	1.611	3020.67
1616571302.351	1.611	3021.25
1616571422.349	1.608	3023.40
1616571542.350	1.610	3025.30
1616571662.349	1.610	3026.37
1616571782.350	1.611	3026.76
1616571902.347	1.608	3027.42
1616572022.349	1.610	3028.26
1616572142.350	1.609	3028.84
1616572262.350	1.611	3029.38
1616572382.350	1.609	3030.67
1616572502.350	1.609	3031.91
1616572622.349	1.609	3031.48
1616572742.351	1.610	3031.74
1616572862.351	1.610	3029.65
1616572982.352	1.610	3029.21
1616573102.351	1.609	3026.71
1616573222.351	1.610	3020.86
1616573342.352	1.610	3011.87
1616573462.352	1.611	2999.66
1616573582.351	1.610	2986.40
1616573702.351	1.610	2969.87
1616573822.350	1.609	2953.03
1616573942.351	1.609	2933.73
1616574062.352	1.610	2913.65
1616574182.352	1.610	2892.98
1616574302.353	1.610	2871.66
1616574422.352	1.610	2849.05
1616574542.350	1.610	2825.76
1616574662.352	1.612	2801.70
1616574782.353	1.611	2777.19
1616574902.352	1.611	2753.53
1616575022.351	1.610	2729.10
1616575142.352	1.610	2704.30
1616575262.353	1.610	2679.43
1616575382.353	1.611	2653.65
1616575502.351	1.610	2628.20
1616575622.352	1.610	2603.40
1616575742.351	1.611	2577.35
1616575862.351	1.610	2552.53
1616575982.351	1.611	2526.71
1616576102.353	1.612	2501.59
1616576222.350	1.609	2475.56
1616576342.352	1.610	2449.93
1616576462.354	1.612	2423.80
1616576582.351	1.610	2398.11
1616576702.353	1.612	2372.57
1616576822.353	1.610	2346.53
1616576942.350	1.608	2320.96
1616577062.352	1.611	2295.18
1616577182.352	1.610	2270.19
1616577302.352	1.610	2243.88
1616577422.352	1.611	2218.53
1616577542.352	1.611	2191.91
1616577662.350	1.611	2166.48
1616577782.350	1.609	2140.78
1616577902.349	1.610	2115.42
1616578022.351	1.611	2089.40
1616578142.351	1.611	2063.42
1616578262.351	1.610	2037.36
1616578382.350	1.609	2011.44
1616578502.351	1.611	1985.08
1616578622.349	1.609	1958.74
1616578742.350	1.609	1932.97
1616578862.351	1.610	1906.86
1616578982.351	1.609	1880.86
1616579101.149	1.612	1854.80
1616579218.674	1.610	1829.30
1616579338.673	1.609	1802.83
1616579458.675	1.609	1777.06
1616579578.674	1.609	1750.87
1616579698.676	1.610	1724.86
1616579818.676	1.610	1698.41
1616579938.677	1.612	1672.66
1616580058.674	1.609	1646.36
1616580178.676	1.610	1620.18
1616580298.676	1.611	1594.20
1616580418.673	1.609	1568.44
1616580538.675	1.610	1542.11
1616580658.678	1.610	1516.05
1616580778.675	1.610	1489.65
1616580898.675	1.610	1463.48
1616581018.674	1.610	1437.71
1616581138.675	1.610	1411.22
1616581258.675	1.610	1385.07
1616581378.673	1.609	1358.96
1616581498.674	1.610	1332.85
1616581618.674	1.610	1308.52
1616581738.675	1.609	1286.75
1616581858.673	1.609	1268.04
1616581978.673	1.610	1251.73
1616582098.674	1.610	1237.83
1616582218.675	1.610	1226.41
1616582338.675	1.610	1216.93
1616582458.675	1.610	1208.71
1616582578.674	1.609	1202.01
1616582698.677	1.612	1196.38
1616582818.674	1.610	1191.74
1616582938.675	1.609	1187.61
1616583058.678	1.610	1184.63
1616583178.675	1.610	1182.11
1616583298.674	1.609	1179.44
1616583418.674	1.610	1177.99
1616583538.674	1.610	1176.57
1616583658.675	1.611	1175.47
1616583778.674	1.610	1174.42
1616583898.676	1.611	1173.65
1616584018.675	1.610	1173.11
1616584138.673	1.610	1172.50
1616584258.674	1.609	1172.06
1616584378.675	1.611	1171.69
1616584498.676	1.609	1171.38
1616584618.675	1.609	1171.05
1616584738.676	1.610	1170.85
1616584858.675	1.610	1170.60
1616584978.673	1.610	1170.40
1616585098.673	1.609	1170.45
1616585218.675	1.610	1171.98
1616585338.676	1.611	1175.94
1616585458.675	1.611	1182.96
1616585578.676	1.611	1193.19
1616585698.674	1.609	1205.89
1616585818.676	1.611	1220.57
1616585938.675	1.611	1237.18
1616586058.675	1.610	1255.37
1616586178.674	1.610	1274.93
1616586298.675	1.610	1295.51
1616586418.674	1.609	1316.95
1616586538.674	1.610	1338.91
1616586658.674	1.611	1361.63
1616586778.673	1.609	1384.79
1616586898.674	1.610	1408.42
1616587018.674	1.609	1432.48
1616587138.675	1.610	1456.51
1616587258.675	1.610	1480.81
1616587378.675	1.611	1505.70
1616587498.673	1.609	1530.28
1616587618.674	1.610	1555.30
1616587738.675	1.609	1580.61
1616587858.675	1.610	1605.57
1616587978.673	1.610	1630.95
1616588098.675	1.611	1656.44
1616588218.676	1.610	1681.79
1616588338.675	1.610	1707.11
1616588458.676	1.611	1733.02
1616588578.676	1.612	1758.48
1616588698.674	1.609	1784.20
1616588818.675	1.611	1809.81
1616588938.676	1.610	1835.44
1616589058.676	1.610	1860.77
1616589178.674	1.609	1886.43
1616589298.673	1.609	1911.97
1616589418.674	1.610	1937.80
1616589538.675	1.611	1963.14
1616589658.676	1.611	1988.72
1616589778.675	1.610	2014.54
1616589898.676	1.611	2040.10
1616590018.675	1.610	2065.84
1616590138.674	1.610	2091.75
1616590258.674	1.609	2117.70
1616590378.675	1.610	2143.43
1616590498.674	1.609	2168.86
1616590618.675	1.610	2194.93
1616590738.673	1.610	2220.42
1616590858.674	1.610	2246.04
1616590978.674	1.610	2271.72
1616591098.674	1.610	2297.49
1616591218.676	1.610	2322.99
1616591338.675	1.610	2348.78
1616591458.675	1.610	2374.19
1616591578.675	1.612	2399.61
1616591698.676	1.611	2424.89
1616591818.675	1.611	2450.09
1616591938.676	1.610	2475.46
1616592058.677	1.610	2501.13
1616592178.676	1.610	2526.93
1616592298.678	1.612	2552.55
1616592418.677	1.611	2577.87
1616592538.678	1.612	2603.53
1616592658.678	1.611	2628.82
1616592778.676	1.610	2654.45
1616592898.678	1.611	2679.84
1616593018.675	1.609	2705.08
1616593138.677	1.610	2730.56
1616593258.675	1.610	2755.79
1616593378.677	1.611	2781.40
1616593498.676	1.611	2806.22
1616593618.679	1.612	2832.06
1616593738.676	1.610	2857.95
1616593858.678	1.610	2882.88
1616593978.676	1.610	2905.74
1616594098.675	1.610	2925.99
1616594218.677	1.611	2944.74
1616594338.678	1.611	2959.55
1616594458.676	1.610	2972.25
1616594578.676	1.609	2982.53
1616594698.678	1.611	2990.13
1616594818.678	1.612	2998.95
1616594938.676	1.610	3006.56
1616595058.676	1.609	3012.45
1616595178.678	1.610	3015.41
1616595298.676	1.610	3020.04
1616595418.679	1.612	3024.08
1616595538.677	1.611	3026.08
1616595658.677	1.610	3027.82
1616595778.675	1.610	3030.74
1616595898.678	1.611	3032.72
