#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3736776
#overflow:lower center upper   -5.9120480634E+001    2.0475166826E+000   -3.9589693654E+001    1.3738726956E+000   -9.0998624889E+001    3.1448944071E+000   -4.4108839578E+001    1.5276192601E+000   -5.3063325614E+001    1.8414452719E+000   -8.1162230332E+001    2.8108875100E+000   -6.6285542160E+001    2.2908151751E+000
    2.5118864315E+000    2.8370820458E+000    3.1622776602E+000   -7.9585250394E+000    3.3660450547E+000   -5.3843185595E+000    2.2405404887E+000   -1.2107318281E+001    5.2177343932E+000   -5.9377275095E+000    2.5113520685E+000   -7.2167734216E+000    3.0030676807E+000   -1.0925683205E+001    4.6209997130E+000   -8.8192558664E+000    3.8007206540E+000
    3.1622776602E+000    3.5716746829E+000    3.9810717055E+000   -1.2714436479E+000    2.3863133616E+000   -7.9909070462E-001    1.5848620376E+000   -2.0948034926E+000    3.7083307480E+000   -9.4860365302E-001    1.7803900124E+000   -1.0710466877E+000    2.1242409979E+000   -1.7454729917E+000    3.2759969577E+000   -1.5259042144E+000    2.7012354796E+000
    3.9810717055E+000    4.4964720209E+000    5.0118723363E+000   -4.8849461033E+000    1.8617479898E+000   -3.2788359154E+000    1.2410165245E+000   -7.4964004337E+000    2.8810537317E+000   -3.6445797075E+000    1.3890202267E+000   -4.3947280657E+000    1.6633739201E+000   -6.7061890658E+000    2.5558591125E+000   -5.4605546798E+000    2.0986274115E+000
    5.0118723363E+000    5.6607228905E+000    6.3095734448E+000    2.0140205183E+000    1.4725328261E+000    1.3420425267E+000    9.8191885296E-001    3.1145723430E+000    2.2779015276E+000    1.5026283108E+000    1.0986330541E+000    1.7987822843E+000    1.3160970700E+000    2.7649030497E+000    2.0215337751E+000    2.2687278693E+000    1.6592771366E+000
    6.3095734448E+000    7.1264278960E+000    7.9432823472E+000   -2.0171046719E+000    9.6889234009E-001   -1.3465646326E+000    6.4867268272E-001   -3.1151086290E+000    1.4919461951E+000   -1.5049293482E+000    7.2287498915E-001   -1.8048434066E+000    8.6943662866E-001   -2.7691370609E+000    1.3301221917E+000   -2.2691185127E+000    1.0867687566E+000
    7.9432823472E+000    8.9716411736E+000    1.0000000000E+001   -8.3270155475E-001    6.2192874525E-001   -5.6494596324E-001    4.1552249821E-001   -1.2628034143E+000    9.5990432150E-001   -6.2126523501E-001    4.6401103236E-001   -7.5721504348E-001    5.5693802067E-001   -1.1431557163E+000    8.5380097608E-001   -9.1985575674E-001    6.9921692168E-001
    1.0000000000E+001    1.1294627059E+001    1.2589254118E+001    1.2633642194E-001    4.2428255452E-001    8.0656567175E-002    2.8336554639E-001    2.0545269771E-001    6.5526599057E-001    9.4257572134E-002    3.1655038884E-001    1.0810656239E-001    3.7980385469E-001    1.7343813289E-001    5.8246682108E-001    1.4965658517E-001    4.7731118461E-001
    1.2589254118E+001    1.4219093021E+001    1.5848931925E+001   -7.8673134330E-001    3.1765333754E-001   -5.2809866066E-001    2.1230211693E-001   -1.2076756729E+000    4.9011535064E-001   -5.8696759973E-001    2.3699604531E-001   -7.0782743185E-001    2.8455527991E-001   -1.0800465390E+000    4.3608328401E-001   -8.7969941117E-001    3.5701156779E-001
    1.5848931925E+001    1.7900777537E+001    1.9952623150E+001   -6.4730994988E-001    2.0863404350E-001   -4.3317915704E-001    1.3877340061E-001   -9.9725254261E-001    3.2373737946E-001   -4.8294754085E-001    1.5565850373E-001   -5.8060380210E-001    1.8600240274E-001   -8.8864499552E-001    2.8641858308E-001   -7.2642224581E-001    2.3581793397E-001
    1.9952623150E+001    2.2535743732E+001    2.5118864315E+001   -2.6244020235E-001    1.4135023432E-001   -1.7718424095E-001    9.4262926900E-002   -4.0036818003E-001    2.1862513046E-001   -1.9580241331E-001    1.0545913604E-001   -2.3748567375E-001    1.2634359910E-001   -3.6028516554E-001    1.9404950961E-001   -2.9163761440E-001    1.5925169551E-001
    2.5118864315E+001    2.8370820458E+001    3.1622776602E+001   -1.8079292226E-001    1.0192360850E-001   -1.2151206763E-001    6.7849053961E-002   -2.7700148199E-001    1.5795889753E-001   -1.3488669103E-001    7.6043564738E-002   -1.6286648912E-001    9.0940245065E-002   -2.4819752211E-001    1.3992354765E-001   -2.0177440522E-001    1.1506098223E-001
    3.1622776602E+001    3.5716746829E+001    3.9810717055E+001   -2.3940510217E-001    7.2506421199E-002   -1.6049189099E-001    4.8263274637E-002   -3.6800401224E-001    1.1237669369E-001   -1.7861629561E-001    5.4095874504E-002   -2.1511238618E-001    6.4688802082E-002   -3.2866194315E-001    9.9538819623E-002   -2.6806279214E-001    8.1857831112E-002
    3.9810717055E+001    4.4964720209E+001    5.0118723363E+001   -1.8533700185E-001    4.9028065802E-002   -1.2482607042E-001    3.2625344872E-002   -2.8336202473E-001    7.6018972331E-002   -1.3827695572E-001    3.6579051220E-002   -1.6730835247E-001    4.3728787430E-002   -2.5443576020E-001    6.7307084223E-002   -2.0640757439E-001    5.5374010339E-002
    5.0118723363E+001    5.6607228905E+001    6.3095734448E+001   -1.0521273451E-001    3.5629724385E-002   -6.9863444408E-002    2.3664351039E-002   -1.6355327068E-001    5.5361636055E-002   -7.8497528746E-002    2.6582764217E-002   -9.3640196652E-002    3.1718082378E-002   -1.4443895078E-001    4.8913470699E-002   -1.1913605543E-001    4.0326719939E-002
    6.3095734448E+001    7.1264278960E+001    7.9432823472E+001   -9.8063713625E-002    2.4112504980E-002   -6.5987440556E-002    1.5998244124E-002   -1.5008759846E-001    3.7509694121E-002   -7.3163759264E-002    1.7989952087E-002   -8.8445065407E-002    2.1442955447E-002   -1.3462457725E-001    3.3102313480E-002   -1.0932734255E-001    2.7322944870E-002
    7.9432823472E+001    8.9716411736E+001    1.0000000000E+002   -4.1260770427E-002    1.6208603816E-002   -2.7802634514E-002    1.0707966753E-002   -6.3031805930E-002    2.5342646633E-002   -3.0783997087E-002    1.2092978573E-002   -3.7264755344E-002    1.4352228422E-002   -5.6643926388E-002    2.2251619442E-002   -4.5913852374E-002    1.8460180842E-002
#nx: 3
