x,y,z,cu
329,325,105,0.716
135,363,105,1.268
151,455,105,2.131
301,511,105,0.337
191,229,105,0.964
123,51,105,1.703
169,439,105,2.215
103,199,105,1.663
27,503,105,0.669
55,223,105,0.469
245,495,105,0.69
309,105,105,0.916
289,77,105,0.995
19,527,105,0.602
71,27,105,0.627
117,411,105,1.085
141,439,105,1.568
275,261,105,0.768
219,227,105,1.091
337,585,105,0.404
107,239,105,1.412
231,263,105,1.046
349,93,105,0.87
181,195,105,1.657
349,187,105,0.9
145,535,105,0.806
333,147,105,0.922
343,185,105,0.829
81,245,105,0.762
243,423,105,1.783
371,85,105,0.633
163,521,105,0.799
341,49,105,0.431
397,275,105,0.804
33,19,105,0.796
37,451,105,0.761
81,419,105,1.029
41,129,105,0.458
71,407,105,1.062
213,333,105,1.069
79,509,105,0.836
363,333,105,0.553
183,539,105,0.7
141,251,105,1.802
3,215,105,0.301
43,293,105,0.512
191,153,105,1.247
249,555,105,0.559
183,279,105,1.349
357,151,105,0.809
335,257,105,0.987
357,419,105,0.606
81,241,105,0.737
131,109,105,2.591
323,511,105,0.387
211,349,105,0.9
241,223,105,1.076
91,133,105,1.361
169,131,105,1.129
1,313,105,0.426
189,259,105,1.21
175,443,105,2.44
17,43,105,0.795
41,507,105,0.768
33,407,105,0.597
327,81,105,1.077
159,513,105,0.947
275,119,105,0.949
161,363,105,1.252
77,325,105,1.595
193,97,105,1.298
275,3,105,1.564
165,461,105,2.492
163,457,105,2.801
301,251,105,0.756
387,33,105,0.405
371,349,105,0.548
3,105,105,0.329
235,435,105,1.673
221,319,105,1.162
229,151,105,1.024
339,547,105,0.389
161,453,105,2.497
349,529,105,0.399
217,41,105,3.904
321,109,105,1.075
33,441,105,0.776
11,417,105,0.55
397,463,105,0.365
343,299,105,0.677
17,255,105,0.281
197,365,105,0.898
199,511,105,0.821
107,401,105,1.043
127,313,105,1.183
83,179,105,1.105
65,421,105,1.145
369,227,105,1.343
189,339,105,1.015
19,531,105,0.58
255,503,105,0.675
121,537,105,0.559
121,561,105,0.688
165,487,105,1.847
163,1,105,0.611
369,1,105,0.495
43,53,105,0.907
329,155,105,0.872
321,13,105,0.384
231,253,105,1.1
319,203,105,0.856
231,323,105,1.15
169,553,105,0.772
35,179,105,0.291
361,201,105,0.98
203,513,105,0.833
245,203,105,1.011
87,83,105,1.409
217,303,105,1.227
259,511,105,0.449
275,229,105,0.759
241,415,105,1.82
149,375,105,1.301
159,269,105,1.348
131,283,105,1.856
155,567,105,0.571
365,49,105,0.343
199,167,105,1.374
151,267,105,1.364
127,351,105,1.248
343,523,105,0.4
385,279,105,0.906
203,261,105,1.279
251,445,105,1.005
241,279,105,0.925
329,513,105,0.392
71,279,105,0.953
241,297,105,0.978
167,291,105,1.427
183,137,105,1.224
209,51,105,4.159
41,41,105,1.14
7,531,105,0.549
223,139,105,1.033
5,515,105,0.56
123,425,105,1.145
141,521,105,0.9
317,559,105,0.404
267,83,105,1.273
197,235,105,1.057
189,585,105,0.592
127,385,105,1.382
357,597,105,0.466
331,287,105,0.718
81,9,105,0.773
309,371,105,0.633
369,137,105,0.821
119,315,105,1.193
85,433,105,1.216
59,363,105,1.487
185,351,105,0.959
103,259,105,1.571
325,145,105,0.871
367,255,105,1.38
13,7,105,0.498
219,363,105,0.867
263,571,105,0.618
185,57,105,1.959
245,21,105,2.322
101,529,105,0.574
253,147,105,1.039
263,5,105,1.304
391,485,105,0.343
357,83,105,0.726
133,525,105,0.667
175,57,105,1.863
45,211,105,0.402
367,353,105,0.547
185,349,105,0.902
21,399,105,0.532
75,387,105,1.225
77,259,105,0.57
265,83,105,1.297
61,449,105,1.466
31,145,105,0.361
359,387,105,0.656
229,511,105,0.759
59,51,105,0.786
305,579,105,0.459
151,19,105,0.577
3,499,105,0.541
39,499,105,0.706
345,29,105,0.249
281,325,105,1.018
45,563,105,0.758
325,191,105,0.86
143,481,105,1.936
95,359,105,1.77
133,471,105,1.601
71,477,105,1.252
309,29,105,0.599
159,169,105,1.37
295,389,105,0.644
367,291,105,0.68
